tweet,date,user_location,id,link
"Un concejal de Sincelejo, que lleva desde 1997 en esa curul, acaba de decir en plena sesión:“lo del transporte público se soluciona contratando 300 Motocarros para que presten ese servicio.Que la ciudad se olvide de SETP, eso no sirve.”
Sincelejo no está peor, porque no se puede.",2022-10-07 14:57:38+00:00,"Sincelejo, Colombia",1578399156678311937,https://twitter.com/i/web/status/1578399156678311937
"En hora buena, se le destinaron 2 drones al municipio de Sincelejo para combatir la delincuencia común y Organizada, la idea es que por lo menos exista 1 dron por comuna, es un avance significativo para la seguridad en la capital Sucreña.",2022-10-07 14:25:29+00:00,"Sincelejo, Colombia",1578391066474156035,https://twitter.com/i/web/status/1578391066474156035
"Acaba de publicar una foto en Sincelejo, Sucre https://t.co/3ZNMbMEI5G",2022-10-07 14:03:32+00:00,Periodista,1578385540172447746,https://twitter.com/i/web/status/1578385540172447746
"Despierto todos los días y lo único que veo son Twitter de Sincelejo, ombe me va tocar ir..",2022-10-07 13:02:57+00:00,"Cesar, Colombia",1578370295596863494,https://twitter.com/i/web/status/1578370295596863494
"Lo peor del cuento, de los 300 motocarros que un concejal quiere para Sincelejo, es que el mensaje le llegue como salvación a un grupo de gente que toda la vida ha comido cuento, pero meten Miles de votos que ayudan a ese concejal a elegirse. Ese es el problema",2022-10-07 12:53:54+00:00,"Sincelejo, Colombia",1578368017099939840,https://twitter.com/i/web/status/1578368017099939840
Ayer se evidenció que #Sincelejo tiene líderes de opinión y otros abortos de sapos que defienden al alcalde por tener interés directo o indirecto. Mendigan migajas que caen de la mesa para sus generaciones.,2022-10-07 12:53:54+00:00,Sincelejo Colombia,1578368017058000896,https://twitter.com/i/web/status/1578368017058000896
"📳 La Alcaldía de Sincelejo entregó 13 #motocicletas y 13 #bicicletas a la #Policía Nacional, y un #camión NQR de 6 toneladas a la #Armada Nacional, para fortalecer la #seguridad en la capital sucreña https://t.co/1Lmsn6bjBQ",2022-10-07 12:37:00+00:00,"Sincelejo, Colombia",1578363762309857280,https://twitter.com/i/web/status/1578363762309857280
"Art. 6. Autorizar la construcción del parque Motocarro a cargo del FOMVAS.

Art. 7. Créese el RUOMO - Registro Único de Operadores de MotoCarros y condiciónese el ingreso a 20 votos.  

Art. 8. Comuníquese y cúmplase.

Concejo de Sincelejo ""hundimos la ciudad""",2022-10-07 11:50:22+00:00,Sincelejo,1578352026940895234,https://twitter.com/i/web/status/1578352026940895234
"""Proyecto de acuerdo por medio del cuál se declara el MotoCarro como vehículo oficial de Sincelejo y se dictan otras disposiciones""

Art. 1. El motocarro será el vehículo oficial en todo el municipio.

Art. 2. Entidades públicas y descentralizadas solo podrán comprar MotoCarros.",2022-10-07 11:50:21+00:00,Sincelejo,1578352022125875200,https://twitter.com/i/web/status/1578352022125875200
"Buen Día en Sincelejo, Sucre https://t.co/62QFAUoHlS",2022-10-07 11:29:16+00:00,"Sincelejo, Sucre",1578346717560410117,https://twitter.com/i/web/status/1578346717560410117
"@thaliperez Todo el departamento de Sucre y principalmente su capital, está en un estado de coma hace mucho tiempo...gracias a esta clase política que ha gobernado..y lo peor no se ve salvación por ningún lado..S.O.S sincelejo..quién podrá salvarnos..?",2022-10-07 08:03:55+00:00,sincelejo (sucre),1578295041499750402,https://twitter.com/i/web/status/1578295041499750402
"@Korraleja Mientras pensamos en avanzar actuamos retrocediendo, en vez de buscar la forma para que la ciudad de #Sincelejo tenga mejores infraestructura que ayude a generar crecimiento y mejor movilidad y así  diseñar un mejor sistema de transporte y que sea amigable con el medios ambiente.",2022-10-07 05:19:25+00:00,"Sincelejo, Colombia",1578253641034735616,https://twitter.com/i/web/status/1578253641034735616
"@CarlosPaterC Excelente espacio. Para el próximo prepararé temas relacionados con Zona Franca de Sincelejo, y su integración como enclave industrial y empresarial del AMS.",2022-10-07 04:53:58+00:00,Sincelejo,1578247236810866688,https://twitter.com/i/web/status/1578247236810866688
"En este space de twitter conversamos durante más de tres horas sobre cómo está Sincelejo, inseguridad y estrategia, los invitamos la próxima semana a conversar sobre el Area Metropolitana para Sincelejo, Corozal, Morroa, Sampues, Toluviejo  y como integrarnos al golfo https://t.co/wnzd6bHEJJ",2022-10-07 04:48:57+00:00,"Sincelejo, Colombia",1578245975843504128,https://twitter.com/i/web/status/1578245975843504128
"@alrulazar @INALDO18 @fonchogandara1 Sin moto-taxis, se acaba el negocio de las grúas y comparendos en Sincelejo. Ojalá aprobaran un acuerdo legalizando los moto-carros para ver si salen del concejo vía destitución.",2022-10-07 04:37:17+00:00,Sincelejo Colombia,1578243037687332865,https://twitter.com/i/web/status/1578243037687332865
"Increíble el sistema de salud en sincelejo,como que los pacientes estan super pegados en sillones y sus nombres en una hoja de papel con marcador???Que es esooo???",2022-10-07 04:33:10+00:00,"Sincelejo, Colombia",1578242002302668800,https://twitter.com/i/web/status/1578242002302668800
"Hay que estar bien ""untao' de buena mermelada"" pa decir en público que en SinceleJo si se necesitan 300 motocarros, cómo solución al problema de transporte. Lo que tiene uno que oir en redes",2022-10-07 04:29:21+00:00,"Sincelejo, Colombia",1578241040997404673,https://twitter.com/i/web/status/1578241040997404673
"A mi me da vergüenza y pena ajena los discursos de los políticos de Sincelejo, vacíos, faltos de coherencia, no son capaces de sostener un argumento, en esas sesiones hablan más de chismes que de los problemas que tenemos en el municipio.",2022-10-07 04:07:13+00:00,sincelejo-sucre,1578235472631169024,https://twitter.com/i/web/status/1578235472631169024
"@CarlosSantizM Sincelejo no tiene una visión futura, todo nos ha conllevado a una plena inseguridad además que cuenta con muchas falencias por partes administrativas donde los mandatarios lo único que hacen es robar y el pueblo “mama”.",2022-10-07 03:57:23+00:00,"Sincelejo, Colombia",1578232997945507840,https://twitter.com/i/web/status/1578232997945507840
