palabra,cnt,ciudad
algún,0.014285714285714285,Barranquilla
sitio,0.014285714285714285,Barranquilla
desfile,0.014285714285714285,Barranquilla
disfraz,0.014285714285714285,Barranquilla
división,0.014285714285714285,Barranquilla
tarjetería,0.014285714285714285,Barranquilla
social,0.014285714285714285,Barranquilla
olvides,0.014285714285714285,Barranquilla
cumplir,0.014285714285714285,Barranquilla
felicidad,0.014285714285714285,Barranquilla
pidió,0.014285714285714285,Barranquilla
Presidente,0.014285714285714285,Barranquilla
Happy,0.014285714285714285,Barranquilla
olvidar,0.014285714285714285,Barranquilla
frente,0.014285714285714285,Barranquilla
mil,0.014285714285714285,Barranquilla
agentes,0.014285714285714285,Barranquilla
toman,0.014285714285714285,Barranquilla
municipios,0.014285714285714285,Barranquilla
aledaños,0.014285714285714285,Barranquilla
contener,0.014285714285714285,Barranquilla
riñas,0.014285714285714285,Barranquilla
fiestas,0.014285714285714285,Barranquilla
Informe,0.014285714285714285,Barranquilla
Pregunta,0.014285714285714285,Barranquilla
estúpida,0.014285714285714285,Barranquilla
xd,0.014285714285714285,Barranquilla
máscaras,0.014285714285714285,Barranquilla
pueden,0.014285714285714285,Barranquilla
reemplazar,0.014285714285714285,Barranquilla
PD,0.014285714285714285,Barranquilla
funan,0.014285714285714285,Barranquilla
únicas,0.014285714285714285,Barranquilla
aquellas,0.014285714285714285,Barranquilla
adelantados,0.014285714285714285,Barranquilla
estresan,0.014285714285714285,Barranquilla
demasiado,0.014285714285714285,Barranquilla
Dejen,0.014285714285714285,Barranquilla
firma,0.014285714285714285,Barranquilla
pensamos,0.014285714285714285,Barranquilla
blackpink,0.014285714285714285,Barranquilla
Cami,0.014285714285714285,Barranquilla
Salud,0.014285714285714285,Barranquilla
Halloween,1.0,Medellín
casa,0.15294117647058825,Medellín
familia,0.12941176470588237,Medellín
celebrar,0.10588235294117647,Medellín
día,0.10588235294117647,Medellín
año,0.08235294117647059,Medellín
ver,0.07058823529411765,Medellín
Triki,0.07058823529411765,Medellín
niños,0.058823529411764705,Medellín
